,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,S6,C6,S7,C7,percentage_of_total_chips_hand,percentage_of_hand_bet_pot,percentage_of_total_chips_in_pot,current_stage,move,result,player_hand_ranking
1,3,13,3,5,1,2,2,9,4,11,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,1,2,1,6
2,3,13,3,5,1,2,2,9,4,11,2,11,0,0,0.16666666666666666,0.0125,0.006666666666666667,2,2,1,6
0,4,6,1,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,6
0,2,2,4,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.0075,0,0,1,6
0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.025,0.0075,0,1,1,6
1,2,6,1,1,4,5,3,5,4,10,0,0,0,0,0.16666666666666666,0.025,0.0075,1,0,1,3
0,2,12,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,7
0,2,10,2,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,7
0,1,7,3,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,3
0,4,8,1,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.015,0.0075,0,2,1,3
1,4,8,1,10,4,5,3,5,4,10,0,0,0,0,0.16666666666666666,0.015,0.0075,1,2,1,3
0,1,4,1,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.004583333333333333,0,0,1,3
0,3,8,2,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.004583333333333333,0,0,1,3
0,4,7,3,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.004583333333333333,0,2,1,6
0,2,4,2,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004583333333333333,0,0,1,3
0,3,4,1,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004583333333333333,0,0,1,3
0,4,8,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004583333333333333,0,0,1,7
0,3,13,4,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.020666666666666667,0,0,1,7
0,2,6,1,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.020666666666666667,0,0,1,3
0,4,2,4,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.020666666666666667,0,0,1,3
0,2,12,2,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.06,0.020666666666666667,0,1,1,3
1,2,12,2,10,3,4,2,9,1,8,0,0,0,0,0.16666666666666666,0.1225,0.031083333333333334,1,1,1,7
2,2,12,2,10,3,4,2,9,1,8,4,9,0,0,0.16666666666666666,0.1225,0.031083333333333334,2,1,1,7
3,2,12,2,10,3,4,2,9,1,8,4,9,1,6,0.16666666666666666,0.1225,0.10108333333333333,3,0,1,7
0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.049,0.020666666666666667,0,2,1,3
1,3,1,1,1,3,4,2,9,1,8,0,0,0,0,0.16666666666666666,0.049,0.031083333333333334,1,2,1,3
2,3,1,1,1,3,4,2,9,1,8,4,9,0,0,0.16666666666666666,0.049,0.031083333333333334,2,2,1,3
3,3,1,1,1,3,4,2,9,1,8,4,9,1,6,0.16666666666666666,0.469,0.10108333333333333,3,2,1,3
0,2,4,3,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.020666666666666667,0,0,1,6
0,2,3,3,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.005,0,0,1,6
0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.005,0,0,1,3
0,4,13,1,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005,0,0,1,7
0,3,2,4,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005,0,0,1,7
0,2,5,4,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005,0,0,1,7
0,3,1,2,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.015,0.005,0,2,1,7
0,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,6
0,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,6
1,1,4,3,4,2,2,2,7,4,11,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,0,1,6
0,4,7,2,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,6
0,2,8,4,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,6
0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,3
1,1,1,1,6,2,2,2,7,4,11,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,1,2,1,3
0,1,2,3,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,6
0,4,2,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,6
